Vertex ID,DoF ID,Coordinate
224,27,[245.4984436  349.65423584  47.70394897]
225,45,[245.39891052 348.34738159  49.53510666]
226,564,[244.70013428 339.11959839  53.7516861 ]
227,354,[246.42010498 340.44961548  52.48877716]
228,565,[246.65141296 339.40655518  54.53662872]
229,355,[245.05966187 341.3157959   53.57531357]
230,1102,[261.18688965 348.03167725  53.35342789]
231,1928,[261.3036499 346.2635498  54.0635376]
232,1929,[259.97442627 346.63882446  52.29470444]
233,1101,[259.69207764 347.5866394   53.51091766]
234,740,[258.67410278 343.47637939  50.50872421]
235,741,[259.35168457 345.36126709  49.80464554]
236,1964,[260.04714966 344.97558594  51.8755188 ]
237,742,[258.29199219 345.76611328  51.063591  ]
238,266,[250.70042419 342.54934692  48.4876976 ]
239,472,[253.58129883 343.19692993  48.32751846]
240,473,[253.49238586 341.50756836  48.9768486 ]
241,474,[253.22828674 341.77148438  47.09896469]
242,610,[251.7636261  352.24655151  55.35095978]
243,611,[252.12272644 353.92999268  54.65951157]
244,782,[252.55793762 352.84173584  56.73169708]
245,612,[250.92294312 353.90438843  55.86439896]
246,1247,[252.11021423 350.84509277  63.69451904]
247,1248,[251.70730591 349.27120972  63.76205444]
248,1520,[253.45584106 349.67144775  63.77005386]
249,42,[242.88853455 346.79718018  48.53442001]
250,13,[243.48638916 348.97229004  47.68651199]
251,14,[244.21839905 347.42617798  46.98167419]
252,450,[254.59414673 346.45690918  51.55792618]
253,527,[255.59776306 347.48052979  52.98272324]
254,528,[253.5083313  347.22570801  53.20399857]
255,529,[254.03591919 345.70593262  52.90114594]
256,352,[243.25001526 341.4359436   51.6541481 ]
257,202,[243.27566528 342.13885498  50.38468552]
258,203,[245.47036743 343.05715942  51.76709366]
259,201,[243.54917908 343.30755615  52.42427063]
260,1317,[247.61737061 350.69927979  66.50128937]
261,1460,[249.72372437 352.97488403  66.37011719]
262,1316,[248.05639648 352.37472534  65.04447174]
263,1459,[248.45324707 351.92263794  68.03821564]
264,1077,[254.84266663 346.50738525  58.35858917]
265,1351,[257.26211548 345.74523926  59.69016266]
266,1076,[256.80514526 346.47958374  57.7418251 ]
267,1078,[256.65603638 347.2718811   59.17837143]
268,153,[253.05886841 352.84436035  48.9610672 ]
269,154,[252.85565186 350.51467896  49.07720566]
270,235,[254.46150208 351.72265625  49.28725815]
271,152,[253.18260193 350.99746704  46.47906113]
272,230,[248.19136047 354.15261841  51.80954742]
273,160,[248.8285675  352.29037476  50.88703918]
274,161,[247.26168823 352.35861206  49.87922287]
275,229,[247.81210327 352.58392334  52.15332031]
276,411,[257.68838501 348.67468262  49.42028809]
277,288,[256.08084106 349.2442627   48.00032806]
278,413,[255.37989807 348.33911133  50.13354874]
279,1983,[254.06835938 341.33425903  58.79533005]
280,1443,[255.51022339 341.42642212  60.08178329]
281,1304,[255.62069702 343.11187744  59.06694412]
282,1305,[255.55737305 342.00662231  57.91279221]
283,475,[255.05187988 343.79095459  46.84695816]
284,686,[257.25497437 344.55728149  46.94406891]
285,705,[256.72491455 341.9760437   46.3080101 ]
286,1221,[247.63146973 346.5473938   64.58442688]
287,1018,[248.7434082  347.30505371  62.80867767]
288,1222,[249.01611328 348.31079102  64.01395416]
289,1019,[247.39491272 348.39880371  63.25422287]
290,915,[236.6186676  349.67053223  59.07167435]
291,916,[237.26374817 348.51089478  60.1389122 ]
292,917,[237.94371033 350.00756836  59.90896606]
293,454,[252.3572998  342.33428955  50.12207794]
294,455,[254.05236816 343.68441772  50.40517426]
295,700,[253.34062195 342.44613647  52.1366272 ]
296,456,[252.42929077 344.03277588  50.02639008]
297,1088,[253.3495636  351.60906982  61.45477676]
298,1087,[251.73085022 352.51959229  61.15103531]
299,1089,[253.36804199 352.22253418  59.12108231]
300,1701,[258.21957397 345.7215271   64.09112549]
301,1975,[259.75857544 346.86254883  65.29307556]
302,1700,[256.95431519 347.13320923  65.41386414]
303,1856,[257.85308838 345.521698    66.55162811]
304,1214,[241.86845398 343.27755737  64.31762695]
305,965,[241.73181152 342.5602417   62.62323761]
306,1213,[243.39735413 343.70648193  64.49890137]
307,966,[242.76333618 343.70141602  62.00483704]
308,758,[257.57275391 349.52319336  57.0216217 ]
309,525,[255.11483765 350.28421021  55.77123642]
310,1425,[243.25141907 349.63919067  66.66014862]
311,1754,[264.6524353  352.17337036  61.30838394]
312,1753,[263.17385864 350.53112793  61.71857452]
313,1755,[264.23226929 350.77709961  60.45486832]
314,1595,[263.02972412 352.23956299  61.43735123]
315,331,[243.59869385 343.96203613  54.7643013 ]
316,329,[243.54977417 342.38684082  53.94384003]
317,576,[243.24786377 342.57107544  55.83490372]
318,1911,[255.24304199 341.91357422  62.42166901]
319,1992,[256.75527954 341.88684082  61.24020386]
320,1950,[256.63058472 342.8777771   62.86870575]
321,1542,[255.30278015 343.70397949  61.9884491 ]
322,1328,[242.68730164 353.21893311  66.53468323]
323,1329,[242.71511841 353.19287109  64.78183746]
324,1330,[241.38282776 354.63397217  65.82502747]
325,1617,325,2044,[253.31217957 435.54547119  55.69326,258,[243.68284607 353.00817871  52.80912399]
327,2033,[243.54925537 353.67282104  54.9058075 ]
328,259,[244.93136597 352.21252441  54.01446152]
329,471,[244.94299316 354.19412231  54.43801498]
330,1515,[253.53179932 346.1081543   62.89684296]
331,1514,[252.75382996 348.0302124   63.85534286]
332,1516,[253.51321411 345.36264038  64.505867  ]
333,1517,[254.39562988 347.39071655  63.74819946]
334,382,[251.76399231 349.31692505  53.48597336]
335,617,[250.47073364 349.74316406  55.60782623]
336,618,[252.16485596 348.16177368  54.85768509]
337,1369,[260.48965454 359.57583618  55.42227554]
338,1608,[259.17703247 361.58303833  56.6446991 ]
339,1370,[257.9234314  359.51425171  57.26643753]
340,1371,[257.85623169 360.75418091  55.80571747]
341,1271,[253.34359741 353.46844482  61.99979782]
342,1272,[251.58607483 354.65756226  61.664711  ]
343,1658,[246.91381836 352.37884521  69.78895569]
344,1500,[245.00463867 353.81826782  69.08148193]
345,1499,[246.12736511 351.48635864  68.33351135]
346,2036,[238.2951355  355.35519409  65.55770874]
347,1602,[239.8493042  353.93447876  66.69638824]
348,2047,[240.25971985 355.68008423  66.94060516]
349,2023,[240.25263977 355.76663208  64.80523682]
350,425,[238.82981873 346.01150513  53.70892334]
351,426,[239.64918518 344.50543213  54.94442749]
352,585,[238.43690491 346.07684326  55.71738434]
353,424,[240.32789612 346.08807373  55.72586441]
354,1380,[262.66323853 353.15048218  58.83960724]
355,1379,[261.08358765 354.921875    59.40890121]
356,1593,[261.87445068 353.64984131  61.15570068]
357,1381,[261.26589966 352.8427124   59.77627563]
358,1572,[257.28411865 357.65216064  61.14722443]
359,1397,[258.69882202 357.34277344  58.79202271]
360,1573,[258.83087158 358.53363037  60.3377037 ]
361,1396,[258.06924438 355.84725952  60.23311996]
362,1576,[258.76345825 361.3079834   60.15015411]
363,1575,[260.03579712 359.91467285  59.65532684]
364,1398,[258.94100952 359.0579834   58.60504532]
365,1577,[257.34506226 359.17654419  60.04917526]
366,1183,[247.32479858 335.99694824  57.73920059]
367,929,[247.26597595 338.70928955  57.1374054 ]
368,1184,[248.94898987 337.99539185  56.98529434]
369,928,[247.30543518 338.13269043  55.50702667]
370,539,[257.16915894 352.98880005  52.02477264]
371,540,[258.56741333 353.94720459  52.70199203]
372,541,[257.25042725 351.69454956  53.84169006]
373,542,[256.32962036 353.04656982  53.47471619]
374,1090,[254.43382263 350.25662231  58.60588074]
375,789,[252.70632935 348.20874023  57.91514206]
376,1091,[252.84631348 350.38537598  59.31209183]
377,1092,[253.57383728 348.40423584  59.79488754]
378,780,[250.62744141 352.99536133  58.60717773]
379,613,[249.59570312 353.37289429  56.78515625]
380,779,[248.38075256 353.38140869  59.08498001]
381,658,[259.14398193 351.85916138  50.0019722 ]
382,883,[260.90133667 351.86312866  50.50295258]
383,659,[259.30368042 351.77957153  48.29921722]
384,660,[260.52713013 350.62686157  49.13853455]
385,942,[248.32817078 336.95877075  50.20876312]
386,571,[249.12007141 337.60083008  48.67508316]
387,570,[250.39881897 337.51043701  49.78690338]
388,572,[248.82157898 338.40078735  50.79836655]
389,2011,[258.72241211 345.76193237  57.94562912]
390,1349,[258.24893188 347.29119873  59.59788895]
391,1080,[259.07156372 347.8175354   57.61575317]
392,309,[253.00312805 345.51971436  47.62413406]
393,308,[253.06991577 344.00231934  46.98294067]
394,310,[252.17173767 345.30554199  45.89773941]
395,801,[259.66641235 354.78890991  53.89199066]
396,800,[260.04882812 356.30593872  53.0555191 ]
397,1156,[260.51321411 356.26748657  54.92673492]
398,802,[261.01455688 354.37704468  52.93848801]
399,967,[244.30229187 343.35348511  62.51403427]
400,834,[243.83514404 344.02078247  60.78090668]
401,519,[253.10856628 344.39605713  53.22374344]
402,453,[251.33059692 343.91491699  51.64714432]
403,518,[252.28105164 342.90090942  54.33450699]
404,520,[251.46134949 344.2947998   53.73015594]
405,1472,[257.29156494 354.11734009  62.25046921]
406,1471,[255.64492798 352.80813599  63.17605209]
407,1386,[256.2930603 352.7036438  61.3278923]
408,1473,[257.03829956 351.83987427  63.30119324]
409,709,[253.74365234 338.33200073  45.76143265]
410,496,[254.20401001 340.33004761  45.26549149]
411,710,[254.69012451 339.47323608  46.94308472]
412,495,[253.23339844 340.16055298  47.0230217 ]
413,691,[252.83959961 340.07244873  49.87002182]
414,461,[251.10415649 340.92047119  49.67544174]
415,692,[252.69371033 339.50866699  48.39585114]
416,502,[243.353302   344.95962524  57.47266388]
417,833,[243.55229187 345.38778687  59.46998596]
418,503,[242.98742676 347.01934814  58.02261353]
419,504,[245.06228638 346.2359314   58.08324432]
420,365,[247.53115845 349.81637573  54.14238358]
421,222,[245.737854   348.64910889  54.3167572 ]
422,223,[245.82623291 350.40264893  53.74858475]
423,224,[246.84176636 349.5057373   52.3406105 ]
424,857,[259.62985229 344.08300781  48.13243103]
425,685,[257.95898438 346.04934692  47.59925079]
426,856,[257.83346558 343.42068481  48.39624023]
427,920,[237.16325378 352.9324646   59.08683014]
428,1995,[249.04652405 334.88214111  52.51100922]
429,1193,[249.07904053 335.67752075  50.92062378]
430,1192,[251.19184875 335.80163574  52.41336823]
431,933,[248.88204956 337.57342529  52.5969162 ]
432,968,[243.42958069 344.80236816  63.25585938]
433,994,[248.89929199 341.04595947  57.70217133]
434,1063,[250.39648438 340.43603516  56.05711746]
435,1698,[256.50192261 348.92657471  64.44010925]
436,1518,[255.5222168  347.56991577  62.40110779]
437,1519,[255.04644775 348.99572754  63.46077728]
438,1963,[257.30175781 338.10647583  49.40782547]
439,1199,[258.49191284 339.51629639  50.74373627]
440,852,[256.59432983 338.35421753  51.71866226]
441,853,[257.1053772  339.80383301  49.26887512]
442,1122,[255.28622437 355.68881226  57.90459442]
443,1123,[256.46670532 357.6270752   57.1679039 ]
444,882,[257.0645752  355.49160767  56.37137604]
445,1121,[257.20413208 356.12533569  58.26235199]
446,716,[241.50128174 341.93859863  57.11010361]
447,1155,[261.07058716 355.30130005  57.17185593]
448,1154,[259.25015259 355.1244812   58.56198883]
449,1407,[260.22927856 357.01739502  57.77292633]
450,1408,[260.75637817 356.73638916  59.25786209]
451,401,[255.69137573 352.2038269   50.54735565]
452,538,[258.30877686 352.01660156  51.38948441]
453,645,[256.70526123 351.52029419  52.37070847]
454,1339,[237.03286743 352.44570923  63.24070358]
455,1055,[238.60922241 352.26611328  63.21426392]
456,908,[241.49093628 352.49703979  60.72104645]
457,909,[239.75364685 352.26019287  60.51873016]
458,593,[241.26097107 350.60964966  58.76975632]
459,910,[240.89649963 351.12979126  61.22131348]
460,1347,[260.86889648 346.98419189  58.34467697]
461,1480,[261.18377686 345.99505615  60.41003799]
462,1481,[262.79788208 347.57626343  58.69446564]
463,1913,[261.7180481  347.79425049  60.22522736]
464,559,[246.22415161 350.79556274  59.39118958]
465,723,[245.35577393 345.12539673  60.41384506]
466,724,[246.87190247 343.52658081  59.08514786]
467,986,[245.36500549 342.97769165  61.32877731]
468,783,[252.39149475 351.43307495  57.66954803]
469,784,[251.50192261 349.87252808  58.32972336]
470,785,[251.57287598 351.57437134  59.32381821]
471,813,[254.42454529 357.52160645  55.93843079]
472,812,[255.64477539 358.87783813  54.91230392]
473,814,[255.87179565 356.62139893  55.91737366]
474,566,[245.77342224 338.43435669  52.48257446]
475,353,[244.40867615 340.05535889  51.96135712]
476,1463,[250.7056427  357.22827148  64.5059433 ]
477,1253,[249.93559265 355.44683838  64.62297058]
478,1464,[251.53379822 354.99252319  65.48773956]
479,1999,[257.57455444 340.39111328  52.63632202]
480,854,[256.57250977 340.65792847  50.65647507]
481,830,[241.65274048 349.95053101  60.50688934]
482,829,[242.81671143 348.25262451  61.43610001]
483,620,[242.90486145 348.75375366  59.496521  ]
484,831,[241.38964844 348.2840271   60.17396545]
485,1157,[261.39013672 354.63757324  55.40724564]
486,162,[245.41966248 352.59640503  51.57255554]
487,1231,[487,1311,[271.37286377 464.7076416   49.1488,1047,[238.91485596 346.91784668  62.89912796]
489,1046,[241.20294189 348.05285645  63.00357819]
490,753,[258.75067139 348.64569092  52.84052658]
491,752,[259.99560547 350.31521606  52.61419678]
492,2009,[260.36431885 348.57510376  51.50113678]
493,1273,[251.61329651 353.3062439   62.85658646]
494,1028,[250.13066101 352.50418091  62.14135361]
495,1029,[249.83717346 354.35717773  63.01577377]
496,1303,[254.69224548 342.93328857  60.4871788 ]
497,1302,[252.84370422 340.81542969  59.98104095]
498,991,[248.49407959 338.71835327  58.68059921]
499,992,[250.23529053 339.25518799  57.33706284]
500,1297,[249.8899231  339.92111206  59.61562729]
501,993,[248.69285583 339.53158569  57.35584641]
502,764,[252.36782837 342.99481201  56.58141708]
503,765,[252.47915649 344.63568115  58.17620468]
504,1004,[254.05073547 342.96594238  58.41509247]
505,763,[253.97389221 344.02233887  56.55015564]
506,1591,[261.22052002 351.11529541  61.03265762]
507,1693,[261.69674683 352.52670288  62.52816772]
508,1590,[259.46472168 352.1211853   62.13204575]
509,1592,[260.43264771 353.31610107  62.14893341]
510,690,[254.53439331 341.5534668   50.45858383]
511,851,[253.98757935 339.45916748  51.18358994]
512,713,[255.13674927 340.105896    50.32493591]
513,295,[255.20535278 354.41711426  50.60593033]
514,396,[255.70571899 356.43197632  50.14881134]
515,395,[256.81201172 354.37704468  51.12923431]
516,397,[256.87054443 355.28399658  49.69623566]
517,485,[258.94778442 350.10629272  48.23013687]
518,486,[258.7701416  348.33740234  48.0368309 ]
519,484,[257.63986206 349.59805298  46.83858871]
520,1205,[234.78642273 354.23162842  58.13935471]
521,2086,[236.30258179 354.84024048  59.05236816]
522,759,[255.24816895 348.55429077  56.8783989 ]
523,760,[254.8059082  346.84448242  56.15914536]
524,1013,[246.44026184 340.04943848  58.32569122]
525,1014,[247.99285889 340.29776001  58.88861847]
526,990,[246.85578918 338.72622681  59.57467651]
527,1236,[246.80343628 343.08190918  64.43291473]
528,1237,[248.69900513 342.61434937  64.66534424]
529,1449,[248.10766602 343.28076172  66.07372284]
530,245,[245.67791748 346.52120972  54.03850174]
531,363,[247.82611084 345.77880859  53.52555084]
532,246,[246.15623474 346.01550293  52.44093323]
533,398,[257.47451782 352.95431519  50.05133057]
534,671,[258.25131226 353.10394287  48.03517532]
535,399,[257.45632935 351.11602783  49.81603241]
536,798,[257.02890015 357.30819702  54.87107468]
537,799,[258.90606689 357.53372192  53.63339233]
538,546,[256.2852478  356.90585327  52.93474197]
539,545,[257.78570557 355.70114136  53.76158524]
540,1716,[256.42593384 355.10531616  64.23639679]
541,1717,[254.77908325 355.31491089  65.10601807]
542,1469,[256.0350647  355.57089233  62.40703583]
543,1470,[254.52209473 354.05224609  63.04653168]
544,451,[252.94776917 344.92880249  51.37825394]
545,530,[255.20994568 344.57522583  51.75640869]
546,1418,[244.13902283 341.74139404  65.75908661]
547,1212,[242.94415283 342.10018921  64.47190094]
548,1417,[243.99702454 340.95309448  64.43899536]
549,1211,[244.82545471 342.99713135  64.39039612]
550,1641,[249.42965698 350.62237549  70.43389893]
551,1642,[247.65130615 350.46859741  70.25233459]
552,1387,[255.03953552 351.53686523  61.10971451]
553,1388,[254.35722351 350.27603149  62.35027313]
554,1389,[254.45610046 352.41223145  62.25501251]
555,1239,[252.6587677  343.20391846  62.98873901]
556,1238,[250.8475647  343.15167236  62.96059036]
557,1240,[250.87294006 344.46990967  60.60698318]
558,1012,[251.3777771  343.13980103  59.92572021]
559,428,[240.10198975 347.81048584  54.97863388]
560,1653,[251.06578064 356.09469604  68.87056732]
561,797,[258.15447998 356.16784668  55.31388855]
562,544,[256.36703491 354.72781372  55.19695663]
563,1953,[257.32122803 339.61129761  44.8897438 ]
